,FROM STATION ID,FROM STATION NAME,FROM LONGITUDE,FROM LATITUDE
10562,351,Cottage Grove Ave & 51st St,-87.606615,41.803038
11088,422,DuSable Museum,-87.60785217700001,41.791568011
11179,433,Kedzie Ave & Harrison St,-87.704870749,41.873599675
11701,352,Jeffery Blvd & 67th St,-87.577142826,41.773517551
12679,375,Sacramento Blvd & Franklin Blvd,-87.70103,41.889727
12844,102,Stony Island Ave & 67th St,-87.58533973899999,41.773458499
14444,2,Michigan Ave & Balbo Ave,-87.620339,41.876428000000004
14472,193,State St & 29th St,-87.626938,41.841707
14789,467,Western Ave & Lunt Ave,-87.690492239,42.008594396999996
15898,428,Dorchester Ave & 63rd St,-87.591415989,41.780405646
16151,218,Wells St & 19th St,-87.63387900000001,41.856802
16494,372,Humboldt Dr & Luis Munoz Marin Dr,-87.70288199999999,41.900146
16860,485,Sawyer Ave & Irving Park Rd,-87.7093108,41.953586179
17048,429,Cottage Grove Ave & 67th St,-87.60563486,41.773720952
19106,378,California Ave & Lake St,-87.69629813700001,41.884453957
20699,450,Warren Park West,-87.68972623200001,42.002007264
22493,466,Ridge Blvd & Touhy Ave,-87.682912644,42.012132277
24386,353,Clark St & Touhy Ave,-87.674367115,42.012560115
24626,208,Ashland Ave & 21st St,-87.665897,41.853809999999996
24687,409,Shields Ave & 43rd St,-87.63481935,41.816207679
24751,406,Lake Park Ave & 35th St,-87.608799195,41.831274235
25168,335,Calumet Ave & 35th St,-87.618034,41.831379
26965,390,Wentworth Ave & 63rd St,-87.629746305,41.780079633
